   2.80000000 -5504.07098807 
   3.16000000 -5504.09373160 
   3.52000000 -5504.10113042 
   3.88000000 -5504.10346044 
   4.24000000 -5504.10416596 
   4.60000000 -5504.10437072 
   4.96000000 -5504.10442920 
   5.32000000 -5504.10444594 
   5.68000000 -5504.10444999 
   6.04000000 -5504.10445003 
   6.40000000 -5504.10444916 
   6.76000000 -5504.10444831 
   7.12000000 -5504.10444763 
   7.48000000 -5504.10444715 
   7.84000000 -5504.10444683 
   8.20000000 -5504.10444665 
   8.56000000 -5504.10444656 
   8.92000000 -5504.10444651 
   9.28000000 -5504.10444649 
   9.64000000 -5504.10444649 
  10.00000000 -5504.10444648 
