   2.80000000 -5504.56591237 
   3.16000000 -5504.58363783 
   3.52000000 -5504.58840802 
   3.88000000 -5504.58931130 
   4.24000000 -5504.58919666 
   4.60000000 -5504.58891962 
   4.96000000 -5504.58869409 
   5.32000000 -5504.58854220 
   5.68000000 -5504.58844297 
   6.04000000 -5504.58837653 
   6.40000000 -5504.58833100 
   6.76000000 -5504.58829951 
   7.12000000 -5504.58827771 
   7.48000000 -5504.58826268 
   7.84000000 -5504.58825241 
   8.20000000 -5504.58824546 
   8.56000000 -5504.58824078 
   8.92000000 -5504.58823764 
   9.28000000 -5504.58823550 
   9.64000000 -5504.58823401 
  10.00000000 -5504.58823296 
